id,x,y,z,volume,yw,U,V,W
           0,  4.968910397328600E+00,  1.071428571428600E-01,  8.153195670448700E-01,  1.518921846196400E-02,  1.071428571428600E-01, -2.465159100560934E-03, -6.467473646778150E-03,  3.643742918662852E-03
           1,  4.968910395559200E+00,  3.214285714285700E-01,  8.153195670274100E-01,  1.518921805334400E-02,  3.214285714285700E-01, -2.082379854279932E-02, -1.976858040182394E-02,  8.026295400042708E-03
           2,  4.968910393789800E+00,  5.357142857142900E-01,  8.153195670099400E-01,  1.518921764472300E-02,  4.563734830187000E-01, -2.195702217186219E-02, -4.166367938350891E-02, -9.324616577726309E-03
           3,  4.968910392020500E+00,  7.500000000000000E-01,  8.153195669924700E-01,  1.518921723610400E-02,  4.107753814799400E-01, -1.449108675667737E-02, -6.197170982090126E-02, -3.545152252996042E-02
           4,  5.100366789932300E+00,  1.071428587500000E-01,  8.152386505672000E-01,  1.519381676166000E-02,  1.071428587500000E-01,  9.207907068690444E-03, -5.834847219672020E-03,  1.561137228929337E-02
           5,  5.100366788162900E+00,  3.214285762500000E-01,  8.152386505497300E-01,  1.519381717232800E-02,  3.214285762500000E-01, -1.193481618936123E-02, -1.550428646563208E-02,  1.852879564577353E-02
           6,  5.100366786393600E+00,  5.357142937500000E-01,  8.152386505322600E-01,  1.519381758299600E-02,  3.279582671360900E-01, -1.984749240732120E-02, -2.451801343108575E-02,  5.446591934212259E-03
           7,  5.100366784624200E+00,  7.500000048214300E-01,  8.152386505147901E-01,  1.519381708203500E-02,  2.866051140333500E-01, -9.599730475582793E-03, -3.495326105091534E-02, -1.834772579763071E-02
           8,  5.027988675661400E+00,  1.071428571428600E-01,  2.728428646404100E-01,  1.519399870531600E-02,  1.071428571428600E-01, -2.034038912388198E-02, -6.903597406444210E-03,  5.330974340771506E-02
           9,  5.027988674963500E+00,  3.214285714285700E-01,  2.728428646229400E-01,  1.519399854087200E-02,  3.214285714285700E-01, -4.224499725501804E-02, -3.210241276504468E-02,  1.999344008520490E-02
          10,  5.027988674265500E+00,  5.357142857142900E-01,  2.728428646054700E-01,  1.519399837642700E-02,  4.515609184836500E-01, -3.709064930293292E-02, -4.449335651708183E-02, -1.442490695930972E-02
          11,  5.027988673567600E+00,  7.500000000000000E-01,  2.728428645880100E-01,  1.519399821198300E-02,  4.065869718320800E-01, -2.093231305017128E-02, -6.238016258234445E-02, -4.073266173135368E-02
          12,  5.157931095630800E+00,  1.071428576785700E-01,  2.727619481627500E-01,  1.518950566497300E-02,  1.071428576785700E-01,  2.154489429300492E-03, -9.960612983534675E-04,  5.858536966723332E-02
          13,  5.157931094932900E+00,  3.214285730357100E-01,  2.727619481452700E-01,  1.518950582737000E-02,  3.214285730357100E-01, -2.740783158243459E-02, -1.710586696486502E-02,  3.528023811419734E-02
          14,  5.157931094234900E+00,  5.357142883928599E-01,  2.727619481278000E-01,  1.518950598976600E-02,  3.246829562754000E-01, -2.853777320599713E-02, -2.787811640715553E-02,  1.232176164323715E-02
          15,  5.157931093537000E+00,  7.500000016071400E-01,  2.727619481103300E-01,  1.518950584837200E-02,  2.839884992519600E-01, -1.460564873712453E-02, -4.048667060920365E-02, -1.283275962845641E-02
          16,  4.968910397552100E+00,  1.071428571428600E-01, -8.153195669810900E-01,  1.518921851481900E-02,  1.071428571428600E-01,  1.597692879765951E-02, -1.129366139207922E-02, -5.099600665255440E-03
          17,  4.968910397552100E+00,  3.214285714285700E-01, -8.153195669810900E-01,  1.518921851481900E-02,  3.214285714285700E-01, -1.275207470801877E-02, -3.382393742618515E-02,  9.042572428013722E-03
          18,  4.968910397552100E+00,  5.357142857142900E-01, -8.153195669810900E-01,  1.518921851481900E-02,  4.563734792917600E-01, -2.104682797946457E-02, -4.822386250850493E-02,  1.837470965665437E-03
          19,  4.968910397552100E+00,  7.500000000000000E-01, -8.153195669810900E-01,  1.518921851481900E-02,  4.107753761903500E-01, -1.816441289263603E-02, -6.473408090181923E-02, -9.496487430980229E-03
          20,  5.100366790155800E+00,  1.071428571428600E-01, -8.152386505034100E-01,  1.519381648806600E-02,  1.071428571428600E-01,  2.902043667476159E-02, -3.953955165675270E-03, -4.077195390830258E-03
          21,  5.100366790155800E+00,  3.214285714285700E-01, -8.152386505034100E-01,  1.519381648806600E-02,  3.214285714285700E-01, -2.205734942900746E-03, -2.451755320550640E-02,  1.660211300287723E-02
          22,  5.100366790155800E+00,  5.357142857142900E-01, -8.152386505034100E-01,  1.519381648806600E-02,  3.279582654914100E-01, -1.211358121555746E-02, -2.723448701647052E-02,  9.758028752264190E-03
          23,  5.100366790155800E+00,  7.500000000000000E-01, -8.152386505034100E-01,  1.519381648806600E-02,  2.866051109091500E-01, -6.110845951485810E-03, -3.453358506207208E-02, -5.242684845795493E-03
          24,  5.027988675349200E+00,  1.071428571428600E-01, -2.728428645766300E-01,  1.519399862792500E-02,  1.071428571428600E-01,  2.016619443581618E-03, -2.692453274454342E-02,  4.454802566216333E-02
          25,  5.027988675349200E+00,  3.214285714285700E-01, -2.728428645766300E-01,  1.519399862792500E-02,  3.214285714285700E-01, -1.231089437600831E-02, -7.633834097187371E-02,  2.633710069732729E-02
          26,  5.027988675349200E+00,  5.357142857142900E-01, -2.728428645766300E-01,  1.519399862792500E-02,  4.515609173954600E-01, -1.138244100350561E-02, -9.811267818462180E-02, -3.994983786031121E-03
          27,  5.027988675349200E+00,  7.500000000000000E-01, -2.728428645766300E-01,  1.519399862792500E-02,  4.065869701451200E-01, -5.905711301807778E-03, -1.116515010497365E-01, -3.285685858552343E-02
          28,  5.157931095318600E+00,  1.071428571428600E-01, -2.727619480989300E-01,  1.518950565924900E-02,  1.071428571428600E-01,  2.402917092075225E-02, -2.260310755020389E-02,  4.002065638322270E-02
          29,  5.157931095318600E+00,  3.214285714285700E-01, -2.727619480989500E-01,  1.518950565924900E-02,  3.214285714285700E-01, -2.398703182522223E-03, -6.200946177484008E-02,  3.847194193055779E-02
          30,  5.157931095318600E+00,  5.357142857142900E-01, -2.727619480989400E-01,  1.518950565924900E-02,  3.246829558830800E-01, -4.599594737078653E-03, -7.735778661719554E-02,  1.573373005095992E-02
          31,  5.157931095318600E+00,  7.500000000000000E-01, -2.727619480989400E-01,  1.518950565924900E-02,  2.839884983183000E-01,  3.114257137673115E-03, -8.836959633866164E-02, -1.245520433869590E-02
          32,  4.645919894447300E+00,  1.071428571428600E-01, -1.803177163039300E+00,  4.154377854515000E-02,  1.071428571428600E-01, -4.250255907257279E-04, -1.746472687939302E-02, -4.121573697966674E-03
          33,  4.645919894395700E+00,  3.214285714285700E-01, -1.803177163009500E+00,  4.154377850544900E-02,  3.214285714285700E-01, -2.815201628786643E-02, -5.339496773616200E-02, -1.563264462590454E-02
          34,  4.645919894344100E+00,  5.357142857142900E-01, -1.803177162979700E+00,  4.154377846574900E-02,  4.399913836250300E-01, -3.330283443090298E-02, -7.032015800613275E-02, -2.038390667549467E-02
          35,  4.645919894292600E+00,  7.500000000000000E-01, -1.803177162950000E+00,  4.154377842604900E-02,  3.968211787202200E-01, -3.201848202887431E-02, -7.672805110897328E-02, -2.373629854987097E-02
          36,  3.884557177671700E+00,  1.071428571428600E-01, -3.121896070555300E+00,  4.154377820791700E-02,  1.071428571428600E-01,  1.640327560889078E-02, -1.258609672158761E-02,  1.368336411644609E-02
          37,  3.884557177084500E+00,  3.214285714285700E-01, -3.121896069597600E+00,  4.154377749375000E-02,  3.214285714285700E-01, -1.103780533482725E-02, -4.114986699686949E-02,  2.427873958909615E-02
          38,  3.884557176497200E+00,  5.357142857142900E-01, -3.121896068640000E+00,  4.154377677958300E-02,  4.403937831529600E-01, -2.070356571694113E-02, -6.136244484226931E-02,  1.089331126323907E-02
          39,  3.884557175909900E+00,  7.500000000000000E-01, -3.121896067682300E+00,  4.154377606541700E-02,  3.969912542837100E-01, -2.776464406758370E-02, -7.325319296025705E-02, -1.271037576148511E-02
          40,  4.768315623793700E+00,  1.071428576785700E-01, -1.835567332130000E+00,  4.338430789068600E-02,  1.071428576785700E-01,  1.431241168592985E-02, -1.304460528025391E-02, -7.784974804158822E-03
          41,  4.768315623742200E+00,  3.214285730357100E-01, -1.835567332100200E+00,  4.338430793038700E-02,  3.214285730357100E-01, -1.581436358248628E-02, -3.812911171754071E-02, -1.220912790807075E-02
          42,  4.768315623690600E+00,  5.357142883928599E-01, -1.835567332070400E+00,  4.338430797008700E-02,  3.166968341224100E-01, -2.463487586421960E-02, -5.250355898322039E-02, -1.782862541267464E-02
          43,  4.768315623639000E+00,  7.500000016071400E-01, -1.835567332040600E+00,  4.338430714210100E-02,  2.778511509575900E-01, -2.245857600910885E-02, -5.463753625308596E-02, -2.065246673954959E-02
          44,  3.973805751610400E+00,  1.071428587500000E-01, -3.211698796938700E+00,  4.338430866176200E-02,  1.071428587500000E-01,  2.896072951767807E-02, -1.084933942625173E-02,  4.343547223077714E-03
          45,  3.973805751023100E+00,  3.214285762500000E-01, -3.211698795981000E+00,  4.338430937592900E-02,  3.214285762500000E-01, -9.483085236765489E-04, -3.673670541693819E-02,  2.018439967910543E-02
          46,  3.973805750435800E+00,  5.357142937500000E-01, -3.211698795023400E+00,  4.338431009009600E-02,  3.170920046927400E-01, -1.030338708556805E-02, -4.938840181224863E-02,  1.131686680222633E-02
          47,  3.973805749848500E+00,  7.500000048214300E-01, -3.211698794065700E+00,  4.338430820120300E-02,  2.780131868398300E-01, -1.649331632421240E-02, -5.838386780933581E-02, -8.916036635312471E-03
          48,  7.613627165076700E-01,  1.071428571428600E-01, -4.925073234058500E+00,  4.154377854515200E-02,  1.071428571428600E-01, -5.402077350764778E-03, -8.224877046491713E-03, -4.963445954706725E-03
          49,  7.613627165076700E-01,  3.214285714285700E-01, -4.925073233999000E+00,  4.154377850544900E-02,  3.214285714285700E-01, -4.323784591647826E-03, -3.491863540325379E-02,  1.649110385743150E-02
          50,  7.613627165076700E-01,  5.357142857142900E-01, -4.925073233939400E+00,  4.154377846574900E-02,  4.399913836209100E-01, -2.177413480342194E-02, -5.418150887127908E-02,  1.913754232674331E-02
          51,  7.613627165076700E-01,  7.500000000000000E-01, -4.925073233879900E+00,  4.154377842604900E-02,  3.968211787177400E-01, -2.878289472726277E-02, -7.417247185669655E-02,  1.407627875127669E-02
