elvol_aux_var,id,x,y,yw_aux_var,z
0.0016,0,-5.98,0.02,0.02,0
0.0016,1,-5.98,0.06,0.06,0
0.0016,2,-5.98,0.1,0.1,0
0.0016,3,-5.98,0.14,0.14,0
0.0016,4,-5.98,0.18,0.18,0
0.0016,5,-5.98,0.22,0.22,0
0.0016,7,-5.98,0.3,0.3,0
0.0016,8,-5.98,0.34,0.34,0
0.0016,9,-5.98,0.38,0.38,0
0.0016,10,-5.98,0.42,0.42,0
0.0016,11,-5.98,0.46,0.46,0
0.0016,12,-5.98,0.5,0.5,0
0.0016,13,-5.98,0.54,0.46,0
0.0016,14,-5.98,0.58,0.42,0
0.0015999999999999,15,-5.98,0.62,0.38,0
0.0015999999999999,16,-5.98,0.66,0.34,0
0.0016,17,-5.98,0.7,0.3,0
0.0016,18,-5.98,0.74,0.26,0
0.0016,19,-5.98,0.78,0.22,0
0.0016,20,-5.98,0.82,0.18,0
0.0016,21,-5.98,0.86,0.14,0
0.0016,22,-5.98,0.9,0.1,0
0.0016,23,-5.98,0.94,0.06,0
0.0016,24,-5.98,0.98,0.02,0
0.0016,6,-5.98,0.26,0.26,0
0.0016000000000001,41,-5.94,0.66,0.34,0
0.0016,29,-5.94,0.18,0.18,0
0.0016,33,-5.94,0.34,0.34,0
0.0016,35,-5.94,0.42,0.42,0
0.0016,38,-5.94,0.54,0.46,0
0.0016000000000001,40,-5.94,0.62,0.38,0
0.0016,42,-5.94,0.7,0.3,0
0.0016,43,-5.94,0.74,0.26,0
0.0016,44,-5.94,0.78,0.22,0
0.0016,45,-5.94,0.82,0.18,0
0.0016,46,-5.94,0.86,0.14,0
0.0016,47,-5.94,0.9,0.1,0
0.0016,48,-5.94,0.94,0.06,0
0.0016,49,-5.94,0.98,0.02,0
0.0016,25,-5.94,0.02,0.02,0
0.0016,26,-5.94,0.06,0.06,0
0.0016,27,-5.94,0.1,0.1,0
0.0016,28,-5.94,0.14,0.14,0
0.0016,30,-5.94,0.22,0.22,0
0.0016,31,-5.94,0.26,0.26,0
0.0016,32,-5.94,0.3,0.3,0
0.0016,34,-5.94,0.38,0.38,0
0.0016,36,-5.94,0.46,0.46,0
0.0016,37,-5.94,0.5,0.5,0
0.0016,39,-5.94,0.58,0.42,0
0.0016,50,-5.9,0.02,0.02,0
0.0016,51,-5.9,0.06,0.06,0
0.0016,53,-5.9,0.14,0.14,0
0.0016,54,-5.9,0.18,0.18,0
0.0016,55,-5.9,0.22,0.22,0
0.0016,56,-5.9,0.26,0.26,0
0.0016,57,-5.9,0.3,0.3,0
0.0016,58,-5.9,0.34,0.34,0
0.0016,59,-5.9,0.38,0.38,0
0.0016,60,-5.9,0.42,0.42,0
0.0016,61,-5.9,0.46,0.46,0
0.0016,62,-5.9,0.5,0.5,0
0.0016,63,-5.9,0.54,0.46,0
0.0016,64,-5.9,0.58,0.42,0
0.0016,65,-5.9,0.62,0.38,0
0.0016,66,-5.9,0.66,0.34,0
0.0016,67,-5.9,0.7,0.3,0
0.0016,68,-5.9,0.74,0.26,0
0.0016,69,-5.9,0.78,0.22,0
0.0016,70,-5.9,0.82,0.18,0
0.0016,71,-5.9,0.86,0.14,0
0.0016,72,-5.9,0.9,0.1,0
0.0016,73,-5.9,0.94,0.06,0
0.0016,74,-5.9,0.98,0.02,0
0.0016,52,-5.9,0.1,0.1,0
0.0016,86,-5.86,0.46,0.46,0
0.0016,87,-5.86,0.5,0.5,0
0.0016,88,-5.86,0.54,0.46,0
0.0016,95,-5.86,0.82,0.18,0
0.0016,96,-5.86,0.86,0.14,0
0.0016,97,-5.86,0.9,0.1,0
0.0016,98,-5.86,0.94,0.06,0
0.0016,99,-5.86,0.98,0.02,0
0.0016,78,-5.86,0.14,0.14,0
0.0016,80,-5.86,0.22,0.22,0
0.0016,84,-5.86,0.38,0.38,0
0.0016,89,-5.86,0.58,0.42,0
0.0016,91,-5.86,0.66,0.34,0
0.0016,93,-5.86,0.74,0.26,0
0.0016,75,-5.86,0.02,0.02,0
0.0016,76,-5.86,0.06,0.06,0
0.0016,77,-5.86,0.1,0.1,0
0.0016,79,-5.86,0.18,0.18,0
0.0016,81,-5.86,0.26,0.26,0
0.0015999999999999,82,-5.86,0.3,0.3,0
0.0016,83,-5.86,0.34,0.34,0
0.0016,85,-5.86,0.42,0.42,0
0.0016,90,-5.86,0.62,0.38,0
0.0016,92,-5.86,0.7,0.3,0
0.0016,94,-5.86,0.78,0.22,0
0.0016,100,-5.82,0.02,0.02,0
0.0016,101,-5.82,0.06,0.06,0
0.0016,102,-5.82,0.1,0.1,0
0.0016,103,-5.82,0.14,0.14,0
0.0016,109,-5.82,0.38,0.38,0
0.0016,110,-5.82,0.42,0.42,0
0.0016,111,-5.82,0.46,0.46,0
0.0016,112,-5.82,0.5,0.5,0
0.0016,113,-5.82,0.54,0.46,0
0.0016,114,-5.82,0.58,0.42,0
0.0016,115,-5.82,0.62,0.38,0
0.0016,116,-5.82,0.66,0.34,0
0.0016,119,-5.82,0.78,0.22,0
0.0016,120,-5.82,0.82,0.18,0
0.0016,121,-5.82,0.86,0.14,0
0.0016,122,-5.82,0.9,0.1,0
0.0016,123,-5.82,0.94,0.06,0
0.0016,124,-5.82,0.98,0.02,0
0.0016,104,-5.82,0.18,0.18,0
0.0016,105,-5.82,0.22,0.22,0
0.0016000000000001,106,-5.82,0.26,0.26,0
0.0016000000000001,107,-5.82,0.3,0.3,0
0.0016,108,-5.82,0.34,0.34,0
0.0016,117,-5.82,0.7,0.3,0
0.0016,118,-5.82,0.74,0.26,0
0.0015999999999999,145,-5.78,0.82,0.18,0
0.0015999999999999,146,-5.78,0.86,0.14,0
0.0015999999999999,147,-5.78,0.9,0.1,0
0.0015999999999999,148,-5.78,0.94,0.06,0
0.0015999999999999,149,-5.78,0.98,0.02,0
0.0016,126,-5.78,0.06,0.06,0
0.0016,127,-5.78,0.1,0.1,0
0.0016,128,-5.78,0.14,0.14,0
0.0015999999999999,133,-5.78,0.34,0.34,0
0.0016,134,-5.78,0.38,0.38,0
0.0016,135,-5.78,0.42,0.42,0
0.0016,136,-5.78,0.46,0.46,0
0.0016,137,-5.78,0.5,0.5,0
0.0016,138,-5.78,0.54,0.46,0
0.0016,139,-5.78,0.58,0.42,0
0.0016,140,-5.78,0.62,0.38,0
0.0016,141,-5.78,0.66,0.34,0
0.0015999999999999,143,-5.78,0.74,0.26,0
0.0016,144,-5.78,0.78,0.22,0
0.0016,125,-5.78,0.02,0.02,0
0.0016,129,-5.78,0.18,0.18,0
0.0016,130,-5.78,0.22,0.22,0
0.0016,131,-5.78,0.26,0.26,0
0.0016,132,-5.78,0.3,0.3,0
0.0015999999999999,142,-5.78,0.7,0.3,0
0.0016,167,-5.74,0.7,0.3,0
0.0016,169,-5.74,0.78,0.22,0
0.0016,170,-5.74,0.82,0.18,0
0.0016,171,-5.74,0.86,0.14,0
0.0016,172,-5.74,0.9,0.1,0
0.0016,173,-5.74,0.94,0.06,0
0.0016,174,-5.74,0.98,0.02,0
0.0016,151,-5.74,0.06,0.06,0
