r_cg,z_cg,ur_les,uz_les,yw,nut
1.250306230691e-01,-1.023169931092e+01,9.163000000000e-02,-1.338500000000e-01,3.646366433358e-04,6.884604550382e-03
3.750306310691e-01,-1.022580603095e+01,2.388700000000e-01,-1.073700000000e-01,3.646366472920e-04,4.938209900459e-03
6.250922797242e-01,-1.021400255559e+01,3.492300000000e-01,-7.499000000000e-02,3.662319859735e-04,4.137813569955e-03
8.750922877242e-01,-1.019628314901e+01,4.247000000000e-01,-3.930000000000e-02,3.662319911016e-04,3.778079124397e-03
1.260253177964e+00,-1.015499905233e+01,4.806900000000e-01,1.352000000000e-02,1.636822034943e-03,3.295668612019e-03
1.778907474218e+00,-1.007997626505e+01,4.868400000000e-01,6.120000000000e-02,1.636822043030e-03,2.686419753856e-03
1.250238188316e-01,-1.003134759870e+01,5.802000000000e-02,-3.464700000000e-01,2.003517123406e-01,4.464033850608e-03
3.750238268316e-01,-1.002533414712e+01,1.492600000000e-01,-2.912800000000e-01,2.004718839420e-01,3.288668394158e-03
6.250717775633e-01,-1.001328837890e+01,2.152000000000e-01,-2.241500000000e-01,2.007141777410e-01,2.289388368417e-03
8.750717855633e-01,-9.995205832814e+00,2.535400000000e-01,-1.560200000000e-01,2.010773172431e-01,1.600011649884e-03
2.293228193420e+00,-9.979451825813e+00,4.606500000000e-01,9.236000000000e-02,1.636822030511e-03,2.206222302471e-03
1.254626797519e+00,-9.954256611290e+00,2.703800000000e-01,-7.505000000000e-02,2.008212732587e-01,1.070500449792e-03
1.762052010098e+00,-9.879992029987e+00,2.470700000000e-01,-1.188000000000e-02,2.006933006936e-01,7.861366763054e-04
2.801962212796e+00,-9.853670634071e+00,4.174100000000e-01,1.101700000000e-01,1.636822034823e-03,1.854257504098e-03
1.250170145941e-01,-9.830995886473e+00,3.749000000000e-02,-4.771900000000e-01,4.007034246822e-01,3.070335872839e-03
3.750170225941e-01,-9.824862263296e+00,9.432000000000e-02,-4.049700000000e-01,4.009437678832e-01,2.255798995012e-03
6.250512754024e-01,-9.812574202203e+00,1.325600000000e-01,-3.105100000000e-01,4.014283554808e-01,1.286180400929e-03
8.750512834024e-01,-9.794128516617e+00,1.519500000000e-01,-2.174900000000e-01,4.021546344844e-01,6.827920429251e-04
2.265207837253e+00,-9.780843592922e+00,2.166500000000e-01,1.800000000000e-02,2.005750994809e-01,5.139201192921e-04
1.249000417074e+00,-9.753514170247e+00,1.500900000000e-01,-1.152600000000e-01,4.016425465157e-01,9.987869639118e-04
3.303870022513e+00,-9.702939127892e+00,3.752300000000e-01,1.190900000000e-01,1.636822042193e-03,1.588307154922e-03
1.745196545978e+00,-9.680007794927e+00,1.181600000000e-01,-4.025000000000e-02,4.013866013872e-01,1.235872219682e-03
2.762874700083e+00,-9.657051563485e+00,2.021800000000e-01,3.567000000000e-02,2.004666869286e-01,2.981789287282e-04
1.250102103566e-01,-9.630644174247e+00,2.497000000000e-02,-5.605300000000e-01,6.010551370245e-01,2.842585895568e-03
3.750102183566e-01,-9.624390379469e+00,6.146000000000e-02,-4.747300000000e-01,6.014156518268e-01,2.235282061657e-03
6.250307732415e-01,-9.611860025509e+00,8.258000000000e-02,-3.620700000000e-01,6.021425332234e-01,1.381194373877e-03
8.750307812415e-01,-9.593051200420e+00,8.994000000000e-02,-2.515400000000e-01,6.032319517266e-01,4.747151684268e-04
