x_cg,y_cg,u_dns,v_dns,yw,nut,u_baseline,v_baseline,map_dist
-5.980000000000e+00,2.000000000000e-02,1.123180800000e+01,1.055579400000e-03,2.000000000000e-02,2.147959686268e-02,1.095154966331e+01,-1.062283544371e-01,7.917284927574e-03
-5.980000000000e+00,6.000000000000e-02,1.496043000000e+01,5.441470900000e-04,6.000000000000e-02,3.914769770345e-02,1.483181940944e+01,-4.186787022066e-02,7.931460401944e-03
-5.980000000000e+00,1.000000000000e-01,1.623248400000e+01,-4.804435500000e-05,1.000000000000e-01,4.792408625590e-02,1.621792933173e+01,-1.595102822656e-03,7.829449483201e-03
-5.980000000000e+00,1.400000000000e-01,1.713260600000e+01,-3.598981000000e-04,1.400000000000e-01,6.640356418307e-02,1.712425989342e+01,-6.029736443297e-03,7.827666947463e-03
-5.980000000000e+00,1.800000000000e-01,1.783591200000e+01,-4.463906200000e-04,1.800000000000e-01,8.898114245755e-02,1.785217649888e+01,-1.234034402130e-02,7.842727964401e-03
-5.980000000000e+00,2.200000000000e-01,1.849363300000e+01,-4.419928500000e-04,2.200000000000e-01,1.124584150358e-01,1.846636560208e+01,-1.377109572728e-02,8.009896817338e-03
-5.980000000000e+00,3.000000000000e-01,1.948090500000e+01,-2.725278900000e-04,3.000000000000e-01,8.617600342968e-02,1.946832923253e+01,-4.864279107091e-03,7.866354309869e-03
-5.980000000000e+00,3.400000000000e-01,1.990404500000e+01,-1.824645500000e-04,3.400000000000e-01,7.315533864724e-02,1.986733935900e+01,-1.996846770208e-03,8.728583689236e-03
-5.980000000000e+00,3.800000000000e-01,2.019557400000e+01,-1.594153700000e-04,3.800000000000e-01,5.887394578872e-02,2.019795835552e+01,-7.849980509514e-05,7.818689690248e-03
-5.980000000000e+00,4.200000000000e-01,2.043067500000e+01,-1.380088900000e-04,4.200000000000e-01,4.201512149583e-02,2.045020911320e+01,1.666325365926e-03,8.762872539847e-03
-5.980000000000e+00,4.600000000000e-01,2.061624600000e+01,-4.025674900000e-05,4.600000000000e-01,2.227047563843e-02,2.060954212760e+01,2.361604280111e-03,8.190375116415e-03
-5.980000000000e+00,5.000000000000e-01,2.066206100000e+01,3.808192200000e-05,5.000000000000e-01,1.438767884559e-03,2.066475311036e+01,5.743459941167e-05,7.803909226151e-03
-5.980000000000e+00,5.400000000000e-01,2.061253500000e+01,9.060616900000e-05,4.600000000000e-01,2.265475246715e-02,2.060576652107e+01,-2.260279754662e-03,8.183121716533e-03
-5.980000000000e+00,5.800000000000e-01,2.042662200000e+01,1.517225600000e-04,4.200000000000e-01,4.190235418555e-02,2.044618815161e+01,-1.605893949641e-03,8.773815158162e-03
-5.980000000000e+00,6.200000000000e-01,2.019253800000e+01,2.114608100000e-04,3.800000000000e-01,5.841977938544e-02,2.019518681044e+01,2.287464490903e-05,7.820201858801e-03
-5.980000000000e+00,6.600000000000e-01,1.990410600000e+01,2.914569200000e-04,3.400000000000e-01,7.247050990825e-02,1.986799550685e+01,1.853041244825e-03,8.717859486135e-03
-5.980000000000e+00,7.000000000000e-01,1.948478000000e+01,3.936479000000e-04,3.000000000000e-01,8.532327973388e-02,1.947277580205e+01,4.574925667750e-03,7.863372093981e-03
-5.980000000000e+00,7.400000000000e-01,1.901662300000e+01,4.247308400000e-04,2.600000000000e-01,9.766796007720e-02,1.901085049205e+01,9.482086736541e-03,7.805645393790e-03
-5.980000000000e+00,7.800000000000e-01,1.850814000000e+01,4.518624200000e-04,2.200000000000e-01,1.116862803501e-01,1.848120584724e+01,1.347065164154e-02,8.004523020418e-03
-5.980000000000e+00,8.200000000000e-01,1.785392400000e+01,5.216053100000e-04,1.800000000000e-01,8.850302211579e-02,1.787060034368e+01,1.212442254938e-02,7.845149523342e-03
