x_cg,y_cg,u_dns,v_dns,yw,nut,u_baseline,v_baseline,map_dist
1.249999999998e-02,1.250000000005e-02,2.002090000000e-04,-6.518730000000e-05,1.250000000005e-02,1.526176338859e-05,5.193382836271e-03,-2.732264639378e-03,3.099512865488e-04
1.249999999998e-02,3.750000000015e-02,-9.942920000000e-04,1.103140000000e-03,1.249999999998e-02,1.762489209924e-05,4.710001034022e-03,-1.082830977892e-02,1.039848243884e-03
1.249999999998e-02,6.250000000024e-02,-6.761420000000e-04,2.558420000000e-03,1.249999999998e-02,1.867978401349e-05,3.177223054173e-03,-1.608920260137e-02,6.330254830595e-04
1.249999999999e-02,8.750000000034e-02,-3.034720000000e-04,3.217890000000e-03,1.249999999999e-02,2.054325030186e-05,2.186022985040e-03,-2.014500113265e-02,7.104666913572e-04
1.249999999999e-02,1.125000000004e-01,-8.533440000000e-05,3.509100000000e-03,1.249999999999e-02,2.256060172462e-05,1.563683599771e-03,-2.321388975383e-02,8.378819482929e-04
1.249999999999e-02,1.375000000005e-01,7.520320000000e-05,3.504150000000e-03,1.249999999999e-02,2.437351124203e-05,1.154657285372e-03,-2.549911231552e-02,1.439380420462e-04
1.249999999999e-02,1.625000000006e-01,2.615440000000e-04,3.206620000000e-03,1.249999999999e-02,2.583609652511e-05,8.534448134606e-04,-2.715112055475e-02,2.057906559447e-03
1.250000000000e-02,1.875000000007e-01,5.657680000000e-04,2.695600000000e-03,1.250000000000e-02,2.689022483046e-05,6.032520712896e-04,-2.826014599696e-02,1.912243030375e-03
1.250000000000e-02,2.125000000008e-01,9.372620000000e-04,2.251070000000e-03,1.250000000000e-02,2.752410188048e-05,3.779907444403e-04,-2.888739731237e-02,1.531426593899e-03
1.250000000000e-02,2.375000000009e-01,2.686820000000e-04,-2.650550000000e-05,1.250000000000e-02,2.775365886210e-05,1.723625182272e-04,-2.908301697710e-02,2.728821614724e-03
1.250000000001e-02,2.625000000009e-01,1.950810000000e-05,-2.139780000000e-04,1.250000000001e-02,2.760640443766e-05,-9.253894404774e-06,-2.888665729879e-02,3.110913234812e-03
1.250000000001e-02,2.875000000007e-01,-7.700980000000e-04,3.835450000000e-04,1.250000000001e-02,2.716623246655e-05,-1.608812063577e-04,-2.839851566590e-02,1.617111440909e-03
1.250000000001e-02,3.125000000006e-01,-7.238210000000e-05,9.370170000000e-04,1.250000000001e-02,2.649831341242e-05,-2.806001282330e-04,-2.767456481490e-02,2.203614623189e-03
1.250000000001e-02,3.375000000004e-01,1.329440000000e-04,6.534500000000e-04,1.250000000001e-02,2.566441370701e-05,-3.678165516805e-04,-2.677884611010e-02,2.566308824391e-04
1.250000000002e-02,3.625000000002e-01,4.211820000000e-04,-5.119970000000e-04,1.250000000002e-02,2.472210241554e-05,-4.262046249815e-04,-2.576963993058e-02,4.961082646107e-04
1.250000000002e-02,3.875000000001e-01,1.966470000000e-03,-5.731920000000e-03,1.250000000002e-02,2.371785913249e-05,-4.611262578081e-04,-2.469507915320e-02,2.263651032494e-04
1.250000000002e-02,4.124999999999e-01,1.448390000000e-03,-7.563230000000e-03,1.250000000002e-02,2.268759568682e-05,-4.778708775269e-04,-2.359284166338e-02,2.277480935245e-03
1.250000000002e-02,4.374999999998e-01,9.283700000000e-04,-8.618130000000e-03,1.250000000002e-02,2.165823023844e-05,-4.809743126850e-04,-2.249117575877e-02,3.833363817659e-03
1.250000000003e-02,4.624999999998e-01,5.655040000000e-04,-9.955080000000e-03,1.250000000003e-02,2.064918667401e-05,-4.740702394703e-04,-2.141037723637e-02,8.373884464456e-04
1.250000000003e-02,4.874999999999e-01,4.446100000000e-04,-1.067470000000e-02,1.250000000003e-02,1.967373485206e-05,-4.599611885114e-04,-2.036428710494e-02,3.491095731950e-03
1.250000000003e-02,9.375000000001e-01,-7.503460000000e-04,1.869050000000e-03,1.250000000003e-02,6.302042987738e-06,-5.851712108909e-04,-5.361550439601e-03,1.420391903773e-03
