x_cg,y_cg,u_dns,v_dns,yw,nut,u_baseline,v_baseline,map_dist
1.249999999998e-02,1.250000000005e-02,2.002090000000e-04,-6.518730000000e-05,1.250000000005e-02,1.838867042848e-06,-3.512315507414e-04,6.186974813098e-04,3.099512865488e-04
1.249999999998e-02,3.750000000015e-02,-9.942920000000e-04,1.103140000000e-03,1.249999999998e-02,1.859591799629e-06,-2.937743898054e-04,1.203747957763e-03,1.039848243884e-03
1.249999999998e-02,6.250000000024e-02,-6.761420000000e-04,2.558420000000e-03,1.249999999998e-02,2.139361042700e-06,-1.210828222356e-04,1.767927133277e-03,6.330254830595e-04
1.249999999999e-02,8.750000000034e-02,-3.034720000000e-04,3.217890000000e-03,1.249999999999e-02,2.348446035817e-06,2.391189769800e-05,2.154170362082e-03,7.104666913572e-04
1.249999999999e-02,1.125000000004e-01,-8.533440000000e-05,3.509100000000e-03,1.249999999999e-02,2.471855918752e-06,1.257101521931e-04,2.334438262729e-03,8.378819482929e-04
1.249999999999e-02,1.375000000005e-01,7.520320000000e-05,3.504150000000e-03,1.249999999999e-02,2.499235878157e-06,1.835631821350e-04,2.353739294032e-03,1.439380420462e-04
1.249999999999e-02,1.625000000006e-01,2.615440000000e-04,3.206620000000e-03,1.249999999999e-02,2.432459392510e-06,1.981549514524e-04,2.270791616337e-03,2.057906559447e-03
1.250000000000e-02,1.875000000007e-01,5.657680000000e-04,2.695600000000e-03,1.250000000000e-02,2.303025592735e-06,1.793820163822e-04,2.134581886889e-03,1.912243030375e-03
1.250000000000e-02,2.125000000008e-01,9.372620000000e-04,2.251070000000e-03,1.250000000000e-02,2.136816716297e-06,1.332441837575e-04,1.984061000958e-03,1.531426593899e-03
1.250000000000e-02,2.375000000009e-01,2.686820000000e-04,-2.650550000000e-05,1.250000000000e-02,1.949743908702e-06,5.872652146506e-05,1.857480234910e-03,2.728821614724e-03
1.250000000001e-02,2.625000000009e-01,1.950810000000e-05,-2.139780000000e-04,1.250000000001e-02,1.779926800404e-06,-6.051578911521e-05,1.801633545078e-03,3.110913234812e-03
1.250000000001e-02,2.875000000007e-01,-7.700980000000e-04,3.835450000000e-04,1.250000000001e-02,1.591189082664e-06,-2.079479357200e-04,1.839184652091e-03,1.617111440909e-03
1.250000000001e-02,3.125000000006e-01,-7.238210000000e-05,9.370170000000e-04,1.250000000001e-02,1.338487423787e-06,-3.652545769233e-04,1.923275436695e-03,2.203614623189e-03
1.250000000001e-02,3.375000000004e-01,1.329440000000e-04,6.534500000000e-04,1.250000000001e-02,9.892580482501e-07,-3.479230836241e-04,1.889013029400e-03,2.566308824391e-04
1.250000000002e-02,3.625000000002e-01,4.211820000000e-04,-5.119970000000e-04,1.250000000002e-02,1.311742515810e-06,-1.618190187380e-06,1.540995364859e-03,4.961082646107e-04
1.250000000002e-02,3.875000000001e-01,1.966470000000e-03,-5.731920000000e-03,1.250000000002e-02,2.550705781315e-06,5.479854036749e-04,8.516194746083e-04,2.263651032494e-04
1.250000000002e-02,4.124999999999e-01,1.448390000000e-03,-7.563230000000e-03,1.250000000002e-02,4.003936571453e-06,8.403159857787e-04,-7.956582345432e-04,2.277480935245e-03
1.250000000002e-02,4.374999999998e-01,9.283700000000e-04,-8.618130000000e-03,1.250000000002e-02,5.074876677854e-06,7.637433550691e-04,-2.034549562319e-03,3.833363817659e-03
1.250000000003e-02,4.624999999998e-01,5.655040000000e-04,-9.955080000000e-03,1.250000000003e-02,6.335578419408e-06,7.503449232516e-04,-3.341408956003e-03,8.373884464456e-04
1.250000000003e-02,4.874999999999e-01,4.446100000000e-04,-1.067470000000e-02,1.250000000003e-02,7.661447921197e-06,7.591472851601e-04,-4.656935701537e-03,3.491095731950e-03
1.250000000003e-02,9.375000000001e-01,-7.503460000000e-04,1.869050000000e-03,1.250000000003e-02,3.427998450643e-06,3.971317809704e-04,3.531567315850e-03,1.420391903773e-03
1.250000000003e-02,9.625000000000e-01,2.496710000000e-04,2.491840000000e-03,1.250000000003e-02,4.119876062313e-06,1.133948855470e-03,3.109251216648e-03,2.007938246063e-04
