id,x_cg,y_cg,z_cg,u_cg,v_cg,w_cg,p_cg,lmix_cg,nut_cg,yw_cg,x_hf,y_hf,z_hf,volume_hf,yw_hf,u_hf,v_hf,w_hf,dx,dy,dz,coord_dist,du,dv,dw,err_mag,speed_hf,speed_cg,speed_error
0,4.968910397329e+00,1.071428571429e-01,8.153195670449e-01,4.877466594430e-02,5.952442330714e-03,-6.796381792155e-02,1.501864280980e+00,4.392857142857e-02,9.274352376601e-04,1.071428571429e-01,4.968910397329e+00,1.071428571429e-01,8.153195670449e-01,1.518921846196e-02,1.071428571429e-01,-2.465159100561e-03,-6.467473646778e-03,3.643742918663e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.123982504486e-02,1.241991597749e-02,-7.160756084022e-02,8.892365688050e-02,7.821897929541e-03,8.386584617204e-02,7.604394824250e-02
1,4.968910395559e+00,3.214285714286e-01,8.153195670274e-01,4.596895096159e-02,1.028030466141e-02,-6.888273216236e-02,1.501556165856e+00,4.500000000000e-02,5.446123801652e-04,3.214285714286e-01,4.968910395559e+00,3.214285714286e-01,8.153195670274e-01,1.518921805334e-02,3.214285714286e-01,-2.082379854280e-02,-1.976858040182e-02,8.026295400043e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.679274950439e-02,3.004888506323e-02,-7.690902756240e-02,1.062036035193e-01,2.981356695706e-02,8.344854646182e-02,5.363497950476e-02
2,4.968910393790e+00,5.357142857143e-01,8.153195670099e-01,1.760763138744e-02,1.146961984799e-02,-3.655154318384e-02,1.501100021384e+00,4.500000000000e-02,4.328943723057e-04,4.563734830187e-01,4.968910393790e+00,5.357142857143e-01,8.153195670099e-01,1.518921764472e-02,4.563734830187e-01,-2.195702217186e-02,-4.166367938351e-02,-9.324616577726e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.956465355930e-02,5.313329923150e-02,-2.722692660612e-02,7.162272565957e-02,4.800959775658e-02,4.216154849687e-02,-5.848049259718e-03
3,4.968910392020e+00,7.500000000000e-01,8.153195669925e-01,7.673828511643e-04,6.729718032398e-03,-7.384119456167e-03,1.501057158411e+00,4.500000000000e-02,2.911421984339e-04,4.107753814799e-01,4.968910392020e+00,7.500000000000e-01,8.153195669925e-01,1.518921723610e-02,4.107753814799e-01,-1.449108675668e-02,-6.197170982090e-02,-3.545152252996e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.525846960784e-02,6.870142785330e-02,2.806740307379e-02,7.576599632528e-02,7.285118299113e-02,1.002013978839e-02,-6.283104320275e-02
4,5.100366789932e+00,1.071428587500e-01,8.152386505672e-01,3.264830733876e-02,4.569348590210e-03,-4.099121161764e-02,1.501633653129e+00,4.392857208750e-02,6.721048891174e-04,1.071428587500e-01,5.100366789932e+00,1.071428587500e-01,8.152386505672e-01,1.519381676166e-02,1.071428587500e-01,9.207907068690e-03,-5.834847219672e-03,1.561137228929e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.344040027007e-02,1.040419580988e-02,-5.660258390693e-02,6.214138846383e-02,1.904063915465e-02,5.260294999814e-02,3.356231084350e-02
5,5.100366788163e+00,3.214285762500e-01,8.152386505497e-01,3.129396103596e-02,1.067559717098e-02,-4.435577711543e-02,1.501525504553e+00,4.500000000000e-02,4.936290012420e-04,3.214285762500e-01,5.100366788163e+00,3.214285762500e-01,8.152386505497e-01,1.519381717233e-02,3.214285762500e-01,-1.193481618936e-02,-1.550428646563e-02,1.852879564577e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.322877722532e-02,2.617988363661e-02,-6.288457276120e-02,8.067578929878e-02,2.694696651508e-02,5.532373212095e-02,2.837676560587e-02
6,5.100366786394e+00,5.357142937500e-01,8.152386505323e-01,1.052965979673e-02,1.536752631804e-02,-2.398814419771e-02,1.501277013352e+00,4.500000000000e-02,3.417691455954e-04,3.279582671361e-01,5.100366786394e+00,5.357142937500e-01,8.152386505323e-01,1.519381758300e-02,3.279582671361e-01,-1.984749240732e-02,-2.451801343109e-02,5.446591934212e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.037715220405e-02,3.988553974912e-02,-2.943473613192e-02,5.813803701762e-02,3.201126834668e-02,3.037211982428e-02,-1.639148522401e-03
7,5.100366784624e+00,7.500000048214e-01,8.152386505148e-01,-3.505772508988e-03,1.481515042366e-02,-4.251625630220e-03,1.501190563658e+00,4.500000000000e-02,2.019772917538e-04,2.866051140333e-01,5.100366784624e+00,7.500000048214e-01,8.152386505148e-01,1.519381708204e-02,2.866051140333e-01,-9.599730475583e-03,-3.495326105092e-02,-1.834772579763e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.093957966595e-03,4.976841147457e-02,1.409610016741e-02,5.208388564931e-02,4.062664550812e-02,1.580681636067e-02,-2.481982914745e-02
8,5.027988675661e+00,1.071428571429e-01,2.728428646404e-01,9.378960378121e-04,2.592043059529e-03,-6.628477350608e-02,1.502036533125e+00,4.392857142857e-02,9.987849307003e-04,1.071428571429e-01,5.027988675661e+00,1.071428571429e-01,2.728428646404e-01,1.519399870532e-02,1.071428571429e-01,-2.034038912388e-02,-6.903597406444e-03,5.330974340772e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.127828516169e-02,9.495640465973e-03,-1.195945169138e-01,1.218432644143e-01,5.747451460480e-02,6.634206459670e-02,8.867549991898e-03
9,5.027988674963e+00,3.214285714286e-01,2.728428646229e-01,1.791380867738e-03,1.104501163437e-02,-7.476494613249e-02,1.502159261645e+00,4.500000000000e-02,8.215720293418e-04,3.214285714286e-01,5.027988674963e+00,3.214285714286e-01,2.728428646229e-01,1.519399854087e-02,3.214285714286e-01,-4.224499725502e-02,-3.210241276504e-02,1.999344008520e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.403637812276e-02,4.314742439941e-02,-9.475838621770e-02,1.130489035288e-01,5.670046159296e-02,7.559760907338e-02,1.889714748042e-02
