RE,CG,np,status,run_mode,baseline_mse,candidate_mse,normalized_mse,L_outer,h_wall,eta_h,eta_y_min,eta_y_max,raw_min,raw_max,C_eff_min,C_eff_max,lm_min,lm_max,steady_elapsed,unsteady_elapsed,candidate_folder,candidate_vpp,baseline_vpp
3000,1,4,ok,steady,0.005613223789299325,0.0038478076398968906,0.6854897977223168,5.13475416321,0.116931339689555,0.022772529311599055,0.019148931740851236,1.0,-4.945049782242759,-0.2369646545988449,0.020506224652456658,0.204234706719745,0.02008138917497334,0.10529442240592136,27.575953722000122,0.0,/homes/aiskhak/projects/GP/runs/3000/1/cand_wall_grid,/homes/aiskhak/projects/GP/runs/3000/1/cand_wall_grid/tamu_2d_fv_gp_csv_vpp_0002.csv,/homes/aiskhak/projects/GP/1_mixing_length/3000/1/tamu_2d_fv_csv_vpp_0031.csv
3000,2,4,ok,steady,0.004445277931579808,0.003326652737523492,0.7483565231974668,5.162529156024,0.0584095686108465,0.011314138253861508,0.009604984814158304,1.0,-4.932445552079248,-0.1785494791872075,0.020506383577344408,0.24150331702223718,0.011975186894233367,0.10586480310265224,12.174954414367676,0.0,/homes/aiskhak/projects/GP/runs/3000/2/cand_wall_grid,/homes/aiskhak/projects/GP/runs/3000/2/cand_wall_grid/tamu_2d_fv_gp_csv_vpp_0002.csv,/homes/aiskhak/projects/GP/1_mixing_length/3000/2/tamu_2d_fv_csv_vpp_0032.csv
3000,3,8,ok,steady,0.004334390120743814,0.0032009836675158158,0.7385084356381153,5.165356380906,0.029205986724518497,0.005654205551523976,0.0048200156721002595,1.0,-4.926219626106676,-0.1493557013327576,0.020506463570046218,0.2629660671110099,0.006547092129704218,0.10592319245135466,25.572141408920288,0.0,/homes/aiskhak/projects/GP/runs/3000/3/cand_wall_grid,/homes/aiskhak/projects/GP/runs/3000/3/cand_wall_grid/tamu_2d_fv_gp_csv_vpp_0002.csv,/homes/aiskhak/projects/GP/1_mixing_length/3000/3/tamu_2d_fv_csv_vpp_0034.csv
3000,4,12,ok,steady,0.0043838646043096565,0.0031777288274673974,0.7248692909775224,5.177364498584,0.0146032648262495,0.0028205981692506813,0.0024094014040737743,1.0,-4.923102657986176,-0.13466778472572985,0.020506503993655528,0.2745544906188754,0.0034248886157466096,0.10616964576682314,95.00050091743469,0.0,/homes/aiskhak/projects/GP/runs/3000/4/cand_wall_grid,/homes/aiskhak/projects/GP/runs/3000/4/cand_wall_grid/tamu_2d_fv_gp_csv_vpp_0002.csv,/homes/aiskhak/projects/GP/1_mixing_length/3000/4/tamu_2d_fv_csv_vpp_0034.csv
3413,1,4,ok,steady,0.005622854058183106,0.003514535998373926,0.6250448548027168,5.13475416321,0.116931339689555,0.022772529311599055,0.019148931740851236,1.0,-4.945049782242759,-0.2369646545988449,0.020506224652456658,0.204234706719745,0.02008138917497334,0.10529442240592136,6.508611440658569,0.0,/homes/aiskhak/projects/GP/runs/3413/1/cand_wall_grid,/homes/aiskhak/projects/GP/runs/3413/1/cand_wall_grid/tamu_2d_fv_gp_csv_vpp_0002.csv,/homes/aiskhak/projects/GP/1_mixing_length/3413/1/tamu_2d_fv_csv_vpp_0027.csv
3413,2,4,ok,steady,0.004275355679717048,0.0030351818442997127,0.7099249914338326,5.162529156024,0.0584095686108465,0.011314138253861508,0.009604984814158304,1.0,-4.932445552079248,-0.1785494791872075,0.020506383577344408,0.24150331702223718,0.011975186894233367,0.10586480310265224,13.123981475830078,0.0,/homes/aiskhak/projects/GP/runs/3413/2/cand_wall_grid,/homes/aiskhak/projects/GP/runs/3413/2/cand_wall_grid/tamu_2d_fv_gp_csv_vpp_0002.csv,/homes/aiskhak/projects/GP/1_mixing_length/3413/2/tamu_2d_fv_csv_vpp_0028.csv
3413,3,8,ok,steady,0.004096869085198202,0.0029087441578376618,0.7099919712706514,5.165356380906,0.029205986724518497,0.005654205551523976,0.0048200156721002595,1.0,-4.926219626106676,-0.1493557013327576,0.020506463570046218,0.2629660671110099,0.006547092129704218,0.10592319245135466,25.892779111862183,0.0,/homes/aiskhak/projects/GP/runs/3413/3/cand_wall_grid,/homes/aiskhak/projects/GP/runs/3413/3/cand_wall_grid/tamu_2d_fv_gp_csv_vpp_0002.csv,/homes/aiskhak/projects/GP/1_mixing_length/3413/3/tamu_2d_fv_csv_vpp_0029.csv
3413,4,12,ok,steady,0.004165692733050706,0.002890198060187476,0.693809708348524,5.177364498584,0.0146032648262495,0.0028205981692506813,0.0024094014040737743,1.0,-4.923102657986176,-0.13466778472572985,0.020506503993655528,0.2745544906188754,0.0034248886157466096,0.10616964576682314,99.26453042030334,0.0,/homes/aiskhak/projects/GP/runs/3413/4/cand_wall_grid,/homes/aiskhak/projects/GP/runs/3413/4/cand_wall_grid/tamu_2d_fv_gp_csv_vpp_0002.csv,/homes/aiskhak/projects/GP/1_mixing_length/3413/4/tamu_2d_fv_csv_vpp_0029.csv
5963,1,4,ok,steady,0.007553101839935277,0.001708591316969825,0.22621054941111002,5.13475416321,0.116931339689555,0.022772529311599055,0.019148931740851236,1.0,-4.945049782242759,-0.2369646545988449,0.020506224652456658,0.204234706719745,0.02008138917497334,0.10529442240592136,11.284976243972778,0.0,/homes/aiskhak/projects/GP/runs/5963/1/cand_wall_grid,/homes/aiskhak/projects/GP/runs/5963/1/cand_wall_grid/tamu_2d_fv_gp_csv_vpp_0002.csv,/homes/aiskhak/projects/GP/1_mixing_length/5963/1/tamu_2d_fv_csv_vpp_0030.csv
5963,2,4,ok,steady,0.004337895645074109,0.0010622954606618455,0.24488727889711534,5.162529156024,0.0584095686108465,0.011314138253861508,0.009604984814158304,1.0,-4.932445552079248,-0.1785494791872075,0.020506383577344408,0.24150331702223718,0.011975186894233367,0.10586480310265224,16.816349267959595,0.0,/homes/aiskhak/projects/GP/runs/5963/2/cand_wall_grid,/homes/aiskhak/projects/GP/runs/5963/2/cand_wall_grid/tamu_2d_fv_gp_csv_vpp_0002.csv,/homes/aiskhak/projects/GP/1_mixing_length/5963/2/tamu_2d_fv_csv_vpp_0032.csv
