candidate_id,local_id,model,C1,C2,C3,RE,CG,raw_fitness,baseline_fitness,norm_fitness,run_mode,steady_elapsed,unsteady_elapsed,total_solver_elapsed,raw_min,raw_max,C_eff_min,C_eff_max,Ceff_frac_within_5pct_lower,Ceff_frac_within_10pct_lower,expr
2,2,wall,0.000000000000e+00,-5.800000000000e+00,-1.386769525000e-01,3413,1,3.500124998050e-03,5.622854058183e-03,6.224819214285e-01,steady,9.094990e+00,0.000000e+00,9.094990e+00,-5.938676952500e+00,-2.497407565969e-01,2.050085314650e-02,1.969946365259e-01,4.528043775650e-01,5.129958960328e-01,"raw = -5.8*eta_y + -0.1386769525"
6,6,wall,0.000000000000e+00,-4.800000000000e+00,-2.386769525000e-01,3413,1,3.436716361259e-03,5.622854058183e-03,6.112049727233e-01,steady,9.892069e+00,0.000000e+00,9.892069e+00,-5.038676952500e+00,-3.305918248561e-01,2.050516159686e-02,1.576474822772e-01,3.850889192886e-01,4.616963064295e-01,"raw = -4.8*eta_y + -0.2386769525"
1,1,wall,0.000000000000e+00,-5.800000000000e+00,-1.886769525000e-01,3413,1,3.457633524914e-03,5.622854058183e-03,6.149249987881e-01,steady,1.130048e+01,0.000000e+00,1.130048e+01,-5.988676952500e+00,-2.997407565969e-01,2.050077195786e-02,1.714297112604e-01,4.582763337893e-01,5.205198358413e-01,"raw = -5.8*eta_y + -0.1886769525"
7,7,wall,0.000000000000e+00,-4.800000000000e+00,-1.886769525000e-01,3413,1,3.473721432832e-03,5.622854058183e-03,6.177861628432e-01,steady,1.107990e+01,0.000000e+00,1.107990e+01,-4.988676952500e+00,-2.805918248561e-01,2.050570449705e-02,1.807230886515e-01,3.789329685363e-01,4.521203830369e-01,"raw = -4.8*eta_y + -0.1886769525"
5,5,wall,0.000000000000e+00,-5.300000000000e+00,-1.386769525000e-01,3413,1,3.499796450451e-03,5.622854058183e-03,6.224234906751e-01,steady,1.100218e+01,0.000000e+00,1.100218e+01,-5.438676952500e+00,-2.401662907265e-01,2.050231914787e-02,2.023915981984e-01,4.131326949384e-01,4.774281805746e-01,"raw = -5.3*eta_y + -0.1386769525"
4,4,wall,0.000000000000e+00,-5.300000000000e+00,-1.886769525000e-01,3413,1,3.458159122078e-03,5.622854058183e-03,6.150184739448e-01,steady,1.123456e+01,0.000000e+00,1.123456e+01,-5.488676952500e+00,-2.901662907265e-01,2.050209844425e-02,1.760025192173e-01,4.213406292750e-01,4.890560875513e-01,"raw = -5.3*eta_y + -0.1886769525"
0,0,wall,0.000000000000e+00,-5.800000000000e+00,-2.386769525000e-01,3413,1,3.423311368315e-03,5.622854058183e-03,6.088209533614e-01,steady,1.216772e+01,0.000000e+00,1.216772e+01,-6.038676952500e+00,-3.497407565969e-01,2.050069849552e-02,1.497781045054e-01,4.685362517100e-01,5.273597811218e-01,"raw = -5.8*eta_y + -0.2386769525"
3,3,wall,0.000000000000e+00,-5.300000000000e+00,-2.386769525000e-01,3413,2,2.983004023620e-03,4.275355679717e-03,6.977206686619e-01,steady,1.143750e+01,0.000000e+00,1.143750e+01,-5.538676952500e+00,-2.895833720150e-01,2.050189874472e-02,1.762856494243e-01,4.295485636115e-01,4.958960328317e-01,"raw = -5.3*eta_y + -0.2386769525"
2,2,wall,0.000000000000e+00,-5.800000000000e+00,-1.386769525000e-01,3413,2,3.012532589482e-03,4.275355679717e-03,7.046273608940e-01,steady,1.250145e+01,0.000000e+00,1.250145e+01,-5.938676952500e+00,-1.943858644221e-01,2.050085314650e-02,2.306853252637e-01,4.471614227086e-01,5.097469220246e-01,"raw = -5.8*eta_y + -0.1386769525"
3,3,wall,0.000000000000e+00,-5.300000000000e+00,-2.386769525000e-01,3413,1,3.424883609307e-03,5.622854058183e-03,6.091005695448e-01,steady,1.206012e+01,0.000000e+00,1.206012e+01,-5.538676952500e+00,-3.401662907265e-01,2.050189874472e-02,1.536500854333e-01,4.302325581395e-01,5.006839945280e-01,"raw = -5.3*eta_y + -0.2386769525"
