rank,candidate_id,model,C1,C2,C3,mean_norm_fitness,CG1_mean,CG2_mean,CG3_mean,CG4_mean,mean_frac_5pct_lower,mean_frac_10pct_lower,n_cases,expr
0,8,wall,0.000000000000e+00,-4.800000000000e+00,-1.386769525000e-01,4.509343834243e-01,3.469691983306e-01,3.792911980215e-01,5.256859720416e-01,5.517911653035e-01,3.647267228112e-01,4.370831908345e-01,12,"raw = -4.8*eta_y + -0.1386769525"
1,7,wall,0.000000000000e+00,-4.800000000000e+00,-1.886769525000e-01,4.551349915584e-01,3.339579904159e-01,3.798227809868e-01,5.357955451884e-01,5.709636496425e-01,3.753927624829e-01,4.480030566005e-01,12,"raw = -4.8*eta_y + -0.1886769525"
2,5,wall,0.000000000000e+00,-5.300000000000e+00,-1.386769525000e-01,4.569037976064e-01,3.584573279136e-01,3.861496062587e-01,5.242710960015e-01,5.587371602517e-01,4.100760943912e-01,4.761643938098e-01,12,"raw = -5.3*eta_y + -0.1386769525"
3,42,grid,0.000000000000e+00,-4.800000000000e+00,-5.000000000000e-02,4.581757684233e-01,3.780641936422e-01,3.958991770359e-01,5.212328427824e-01,5.375068602327e-01,3.459622948016e-01,4.176721742476e-01,12,"raw = 0*eta_h + -4.8*eta_y + -0.05"
4,39,grid,0.000000000000e+00,-5.300000000000e+00,-5.000000000000e-02,4.593546743890e-01,3.946451167315e-01,4.016001784905e-01,5.088704742316e-01,5.323029281026e-01,3.927972169973e-01,4.591714047538e-01,12,"raw = 0*eta_h + -5.3*eta_y + -0.05"
5,51,grid,1.000000000000e+00,-4.800000000000e+00,-5.000000000000e-02,4.614594251271e-01,3.865794583879e-01,3.998252964960e-01,5.218474252453e-01,5.375855203793e-01,3.438194681943e-01,4.154946135431e-01,12,"raw = 1*eta_h + -4.8*eta_y + -0.05"
6,4,wall,0.000000000000e+00,-5.300000000000e+00,-1.886769525000e-01,4.617715072803e-01,3.415241032187e-01,3.850947313943e-01,5.384204367631e-01,5.820467577453e-01,4.191603967168e-01,4.866674504104e-01,12,"raw = -5.3*eta_y + -0.1886769525"
7,48,grid,1.000000000000e+00,-5.300000000000e+00,-5.000000000000e-02,4.622336041528e-01,4.035867606604e-01,4.048613734806e-01,5.085989287399e-01,5.318873537303e-01,3.901921597127e-01,4.571568271204e-01,12,"raw = 1*eta_h + -5.3*eta_y + -0.05"
8,17,wall,0.000000000000e+00,-4.800000000000e+00,-2.333383671000e-01,4.628722969377e-01,3.268991823366e-01,3.852285485831e-01,5.470601853169e-01,5.923012715143e-01,3.837930702804e-01,4.577954001368e-01,12,"raw = -4.8*eta_y + -0.2333383671"
9,6,wall,0.000000000000e+00,-4.800000000000e+00,-2.386769525000e-01,4.640425737991e-01,3.265410276838e-01,3.861025475477e-01,5.484917970142e-01,5.950349229507e-01,3.850060918263e-01,4.590324683653e-01,12,"raw = -4.8*eta_y + -0.2386769525"
