candidate_id,local_id,model,C1,C2,C3,RE,CG,raw_fitness,baseline_fitness,norm_fitness,run_mode,steady_elapsed,unsteady_elapsed,total_solver_elapsed,raw_min,raw_max,C_eff_min,C_eff_max,Ceff_frac_within_5pct_lower,Ceff_frac_within_10pct_lower,expr
7,7,grid,-1.100000000000e+00,-5.000000000000e+00,-1.400000000000e-01,3000,1,3.807368736523e-03,5.613223789299e-03,6.782855769587e-01,steady,2.200982e+01,0.000000e+00,2.200982e+01,-5.165049782243e+00,-2.607944409470e-01,2.050400875858e-02,1.909726539036e-01,3.898768809850e-01,4.616963064295e-01,"raw = -1.1*eta_h + -5*eta_y + -0.14"
0,0,grid,-1.100000000000e+00,-5.200000000000e+00,-2.000000000000e-01,3000,1,3.750381418104e-03,5.613223789299e-03,6.681332437259e-01,steady,2.335977e+01,0.000000e+00,2.335977e+01,-5.425049782243e+00,-3.246242272952e-01,2.050238322641e-02,1.602042185733e-01,4.213406292750e-01,4.897400820793e-01,"raw = -1.1*eta_h + -5.2*eta_y + -0.2"
1,1,grid,-1.100000000000e+00,-5.200000000000e+00,-1.600000000000e-01,3000,1,3.776996363434e-03,5.613223789299e-03,6.728747160651e-01,steady,2.361083e+01,0.000000e+00,2.361083e+01,-5.385049782243e+00,-2.846242272952e-01,2.050258172667e-02,1.787166578343e-01,4.138166894665e-01,4.781121751026e-01,"raw = -1.1*eta_h + -5.2*eta_y + -0.16"
3,3,grid,-1.100000000000e+00,-5.200000000000e+00,-1.200000000000e-01,3000,1,3.809445408781e-03,5.613223789299e-03,6.786555376686e-01,steady,2.210251e+01,0.000000e+00,2.210251e+01,-5.345049782243e+00,-2.446242272952e-01,2.050279676089e-02,1.998574939527e-01,4.069767441860e-01,4.719562243502e-01,"raw = -1.1*eta_h + -5.2*eta_y + -0.12"
2,2,grid,-1.100000000000e+00,-5.200000000000e+00,-1.400000000000e-01,3000,1,3.792415762646e-03,5.613223789299e-03,6.756216935222e-01,steady,2.296273e+01,0.000000e+00,2.296273e+01,-5.365049782243e+00,-2.646242272952e-01,2.050268709354e-02,1.889370719780e-01,4.097127222982e-01,4.753761969904e-01,"raw = -1.1*eta_h + -5.2*eta_y + -0.14"
6,6,grid,-1.100000000000e+00,-5.000000000000e+00,-1.600000000000e-01,3000,1,3.790478502714e-03,5.613223789299e-03,6.752765692221e-01,steady,2.295211e+01,0.000000e+00,2.295211e+01,-5.185049782243e+00,-2.807944409470e-01,2.050385156307e-02,1.806216294901e-01,3.960328317373e-01,4.664842681259e-01,"raw = -1.1*eta_h + -5*eta_y + -0.16"
4,4,grid,-1.100000000000e+00,-5.200000000000e+00,-8.000000000000e-02,3000,1,3.849185866771e-03,5.613223789299e-03,6.857353298668e-01,steady,2.278281e+01,0.000000e+00,2.278281e+01,-5.305049782243e+00,-2.046242272952e-01,2.050302970637e-02,2.239835250395e-01,3.967168262654e-01,4.658002735978e-01,"raw = -1.1*eta_h + -5.2*eta_y + -0.08"
5,5,grid,-1.100000000000e+00,-5.000000000000e+00,-2.000000000000e-01,3000,1,3.761419095422e-03,5.613223789299e-03,6.700996141633e-01,steady,2.288253e+01,0.000000e+00,2.288253e+01,-5.225049782243e+00,-3.207944409470e-01,2.050355542373e-02,1.618719949907e-01,4.056087551300e-01,4.726402188782e-01,"raw = -1.1*eta_h + -5*eta_y + -0.2"
2,2,grid,-1.100000000000e+00,-5.200000000000e+00,-1.400000000000e-01,3000,2,3.266151747594e-03,4.445277931580e-03,7.347463528413e-01,steady,2.517093e+01,0.000000e+00,2.517093e+01,-5.352445552079e+00,-2.023914731129e-01,2.050275569510e-02,2.254259418679e-01,4.042407660739e-01,4.711012311902e-01,"raw = -1.1*eta_h + -5.2*eta_y + -0.14"
0,0,grid,-1.100000000000e+00,-5.200000000000e+00,-2.000000000000e-01,3000,2,3.222008677640e-03,4.445277931580e-03,7.248160243817e-01,steady,2.635949e+01,0.000000e+00,2.635949e+01,-5.412445552079e+00,-2.623914731129e-01,2.050244406993e-02,1.901206708626e-01,4.162106703146e-01,4.846101231190e-01,"raw = -1.1*eta_h + -5.2*eta_y + -0.2"
1,1,grid,-1.100000000000e+00,-5.200000000000e+00,-1.600000000000e-01,3000,2,3.247480377167e-03,4.445277931580e-03,7.305460821913e-01,steady,2.633689e+01,0.000000e+00,2.633689e+01,-5.372445552079e+00,-2.223914731129e-01,2.050264763810e-02,2.128743759806e-01,4.078317373461e-01,4.758891928865e-01,"raw = -1.1*eta_h + -5.2*eta_y + -0.16"
5,5,grid,-1.100000000000e+00,-5.000000000000e+00,-2.000000000000e-01,3000,2,3.224380592311e-03,4.445277931580e-03,7.253496051181e-01,steady,2.526639e+01,0.000000e+00,2.526639e+01,-5.212445552079e+00,-2.604704761500e-01,2.050364619509e-02,1.911460326380e-01,3.975718194254e-01,4.675102599179e-01,"raw = -1.1*eta_h + -5*eta_y + -0.2"
3,3,grid,-1.100000000000e+00,-5.200000000000e+00,-1.200000000000e-01,3000,2,3.289372678634e-03,4.445277931580e-03,7.399700826950e-01,steady,2.518161e+01,0.000000e+00,2.518161e+01,-5.332445552079e+00,-1.823914731129e-01,2.050286816239e-02,2.388272545007e-01,3.991108071135e-01,4.666552667579e-01,"raw = -1.1*eta_h + -5.2*eta_y + -0.12"
4,4,grid,-1.100000000000e+00,-5.200000000000e+00,-8.000000000000e-02,3000,2,3.351190790485e-03,4.445277931580e-03,7.538765499179e-01,steady,2.511694e+01,0.000000e+00,2.511694e+01,-5.292445552079e+00,-1.423914731129e-01,2.050310705528e-02,2.683924204436e-01,3.917578659371e-01,4.603283173735e-01,"raw = -1.1*eta_h + -5.2*eta_y + -0.08"
7,7,grid,-1.100000000000e+00,-5.000000000000e+00,-1.400000000000e-01,3000,2,3.278230419212e-03,4.445277931580e-03,7.374635443879e-01,steady,2.580806e+01,0.000000e+00,2.580806e+01,-5.152445552079e+00,-2.004704761500e-01,2.050411110454e-02,2.266754264825e-01,3.866279069767e-01,4.567373461012e-01,"raw = -1.1*eta_h + -5*eta_y + -0.14"
6,6,grid,-1.100000000000e+00,-5.000000000000e+00,-1.600000000000e-01,3000,2,3.255863538017e-03,4.445277931580e-03,7.324319397191e-01,steady,2.631135e+01,0.000000e+00,2.631135e+01,-5.172445552079e+00,-2.204704761500e-01,2.050394989548e-02,2.140444717085e-01,3.900478796170e-01,4.613543091655e-01,"raw = -1.1*eta_h + -5*eta_y + -0.16"
5,5,grid,-1.100000000000e+00,-5.000000000000e+00,-2.000000000000e-01,3000,3,3.136202631733e-03,4.334390120744e-03,7.235626107404e-01,steady,2.288096e+01,0.000000e+00,2.288096e+01,-5.206219626107e+00,-2.303197044672e-01,2.050369188356e-02,2.081227348371e-01,3.970160738714e-01,4.670827633379e-01,"raw = -1.1*eta_h + -5*eta_y + -0.2"
1,1,grid,-1.100000000000e+00,-5.200000000000e+00,-1.600000000000e-01,3000,3,3.151320559412e-03,4.334390120744e-03,7.270505126731e-01,steady,2.297971e+01,0.000000e+00,2.297971e+01,-5.366219626107e+00,-1.912837076016e-01,2.050268081365e-02,2.327606324514e-01,4.058652530780e-01,4.739654582763e-01,"raw = -1.1*eta_h + -5.2*eta_y + -0.16"
0,0,grid,-1.100000000000e+00,-5.200000000000e+00,-2.000000000000e-01,3000,3,3.141315872194e-03,4.334390120744e-03,7.247423016124e-01,steady,2.367855e+01,0.000000e+00,2.367855e+01,-5.406219626107e+00,-2.312837076016e-01,2.050247469462e-02,2.075533916400e-01,4.141159370725e-01,4.824298905609e-01,"raw = -1.1*eta_h + -5.2*eta_y + -0.2"
