rank,candidate_id,model,C1,C2,C3,mean_norm_fitness,CG1_mean,CG2_mean,CG3_mean,CG4_mean,mean_frac_5pct_lower,mean_frac_10pct_lower,n_cases,expr
0,13,grid,-1.100000000000e+00,-4.800000000000e+00,-1.200000000000e-01,4.455139250607e-01,3.503270773694e-01,3.823237252961e-01,5.133772251205e-01,5.360276724569e-01,3.634549204856e-01,4.355869528044e-01,24,"raw = -1.1*eta_h + -4.8*eta_y + -0.12"
1,28,grid,-1.000000000000e+00,-4.800000000000e+00,-1.200000000000e-01,4.456794360632e-01,3.510091312586e-01,3.824333107605e-01,5.133188349846e-01,5.359564672492e-01,3.630701735636e-01,4.352957207592e-01,24,"raw = -1*eta_h + -4.8*eta_y + -0.12"
2,12,grid,-1.100000000000e+00,-4.800000000000e+00,-1.400000000000e-01,4.457840880035e-01,3.447209297164e-01,3.808775935611e-01,5.158438701563e-01,5.416939585803e-01,3.678714945280e-01,4.400302453830e-01,24,"raw = -1.1*eta_h + -4.8*eta_y + -0.14"
3,43,grid,-9.000000000000e-01,-4.800000000000e+00,-1.200000000000e-01,4.458473219679e-01,3.516967789563e-01,3.825458795585e-01,5.132611139740e-01,5.358855153827e-01,3.629499401505e-01,4.350044887141e-01,24,"raw = -0.9*eta_h + -4.8*eta_y + -0.12"
4,27,grid,-1.000000000000e+00,-4.800000000000e+00,-1.400000000000e-01,4.459063349565e-01,3.453206071244e-01,3.809348403242e-01,5.157639431494e-01,5.416059492281e-01,3.674520135089e-01,4.398004659713e-01,24,"raw = -1*eta_h + -4.8*eta_y + -0.14"
5,42,grid,-9.000000000000e-01,-4.800000000000e+00,-1.400000000000e-01,4.460315102378e-01,3.459283706643e-01,3.809949439197e-01,5.156845605926e-01,5.415181657745e-01,3.670352043434e-01,4.396027488030e-01,24,"raw = -0.9*eta_h + -4.8*eta_y + -0.14"
6,11,grid,-1.100000000000e+00,-4.800000000000e+00,-1.600000000000e-01,4.469327295313e-01,3.399141163974e-01,3.803451580670e-01,5.190013277720e-01,5.484703158889e-01,3.716414799932e-01,4.444922409371e-01,24,"raw = -1.1*eta_h + -4.8*eta_y + -0.16"
7,26,grid,-1.000000000000e+00,-4.800000000000e+00,-1.600000000000e-01,4.470102701243e-01,3.404185083874e-01,3.803510043258e-01,5.189037874639e-01,5.483677803199e-01,3.714971998974e-01,4.441876496238e-01,24,"raw = -1*eta_h + -4.8*eta_y + -0.16"
8,41,grid,-9.000000000000e-01,-4.800000000000e+00,-1.600000000000e-01,4.470913083179e-01,3.409331902148e-01,3.803597786824e-01,5.188068291730e-01,5.482654352016e-01,3.711926085841e-01,4.438055745554e-01,24,"raw = -0.9*eta_h + -4.8*eta_y + -0.16"
9,8,grid,-1.100000000000e+00,-5.000000000000e+00,-1.200000000000e-01,4.473385216061e-01,3.542975268794e-01,3.843969156544e-01,5.125093561348e-01,5.381502877558e-01,3.815594006498e-01,4.521711482558e-01,24,"raw = -1.1*eta_h + -5*eta_y + -0.12"
10,23,grid,-1.000000000000e+00,-5.000000000000e+00,-1.200000000000e-01,4.475088391221e-01,3.550377739192e-01,3.845056299407e-01,5.124260495113e-01,5.380659031174e-01,3.814792450410e-01,4.520803052326e-01,24,"raw = -1*eta_h + -5*eta_y + -0.12"
11,38,grid,-9.000000000000e-01,-5.000000000000e+00,-1.200000000000e-01,4.476815340907e-01,3.557839896854e-01,3.846170878199e-01,5.123433082438e-01,5.379817506138e-01,3.813483242134e-01,4.518157917237e-01,24,"raw = -0.9*eta_h + -5*eta_y + -0.12"
12,14,grid,-1.100000000000e+00,-4.800000000000e+00,-8.000000000000e-02,4.477712861582e-01,3.632027674732e-01,3.880928080201e-01,5.111180588466e-01,5.286715102927e-01,3.550091911765e-01,4.262114184337e-01,24,"raw = -1.1*eta_h + -4.8*eta_y + -0.08"
13,7,grid,-1.100000000000e+00,-5.000000000000e+00,-1.400000000000e-01,4.478827415994e-01,3.481225711221e-01,3.829150516335e-01,5.158072382179e-01,5.446861054242e-01,3.860240680575e-01,4.565209259576e-01,24,"raw = -1.1*eta_h + -5*eta_y + -0.14"
14,29,grid,-1.000000000000e+00,-4.800000000000e+00,-8.000000000000e-02,4.480116041879e-01,3.639742005901e-01,3.883151636988e-01,5.111163797633e-01,5.286406726996e-01,3.548889577633e-01,4.258694211696e-01,24,"raw = -1*eta_h + -4.8*eta_y + -0.08"
15,22,grid,-1.000000000000e+00,-5.000000000000e+00,-1.400000000000e-01,4.480145184725e-01,3.487894501730e-01,3.829767167520e-01,5.157051885327e-01,5.445867184322e-01,3.859305531806e-01,4.564648170315e-01,24,"raw = -1*eta_h + -5*eta_y + -0.14"
16,37,grid,-9.000000000000e-01,-5.000000000000e+00,-1.400000000000e-01,4.481515282381e-01,3.494737346057e-01,3.830411175129e-01,5.156037346072e-01,5.444875262267e-01,3.854229009918e-01,4.559812115253e-01,24,"raw = -0.9*eta_h + -5*eta_y + -0.14"
17,44,grid,-9.000000000000e-01,-4.800000000000e+00,-8.000000000000e-02,4.482537256497e-01,3.647484335767e-01,3.885406514725e-01,5.111156669588e-01,5.286101505906e-01,3.546003975718e-01,4.255781891245e-01,24,"raw = -0.9*eta_h + -4.8*eta_y + -0.08"
18,9,grid,-1.100000000000e+00,-5.000000000000e+00,-8.000000000000e-02,4.487544021095e-01,3.681653520605e-01,3.899311740688e-01,5.082596072761e-01,5.286614750326e-01,3.737789628933e-01,4.441448999658e-01,24,"raw = -1.1*eta_h + -5*eta_y + -0.08"
19,24,grid,-1.000000000000e+00,-5.000000000000e+00,-8.000000000000e-02,4.489908744835e-01,3.689839586483e-01,3.901393201999e-01,5.082265210574e-01,5.286136980285e-01,3.737121665527e-01,4.437654967510e-01,24,"raw = -1*eta_h + -5*eta_y + -0.08"
20,39,grid,-9.000000000000e-01,-5.000000000000e+00,-8.000000000000e-02,4.492287118553e-01,3.698039742073e-01,3.903503734902e-01,5.081942887479e-01,5.285662109760e-01,3.736640731874e-01,4.436666381669e-01,24,"raw = -0.9*eta_h + -5*eta_y + -0.08"
21,6,grid,-1.100000000000e+00,-5.000000000000e+00,-1.600000000000e-01,4.492301799239e-01,3.427533759938e-01,3.822672586178e-01,5.196931016631e-01,5.522069834208e-01,3.904620169289e-01,4.609428437073e-01,24,"raw = -1.1*eta_h + -5*eta_y + -0.16"
22,21,grid,-1.000000000000e+00,-5.000000000000e+00,-1.600000000000e-01,4.493178398310e-01,3.433185505559e-01,3.822817552192e-01,5.195762801296e-01,5.520947734193e-01,3.902910182969e-01,4.606222212722e-01,24,"raw = -1*eta_h + -5*eta_y + -0.16"
23,36,grid,-9.000000000000e-01,-5.000000000000e+00,-1.600000000000e-01,4.494096556782e-01,3.438972057428e-01,3.822988523839e-01,5.194598367358e-01,5.519827278502e-01,3.900371922025e-01,4.604806130301e-01,24,"raw = -0.9*eta_h + -5*eta_y + -0.16"
24,3,grid,-1.100000000000e+00,-5.200000000000e+00,-1.200000000000e-01,4.499506518960e-01,3.586280159441e-01,3.875506106121e-01,5.127401363829e-01,5.408838446447e-01,4.003024538304e-01,4.672377308482e-01,24,"raw = -1.1*eta_h + -5.2*eta_y + -0.12"
25,18,grid,-1.000000000000e+00,-5.200000000000e+00,-1.200000000000e-01,4.501334488703e-01,3.594428833223e-01,3.876657422409e-01,5.126369214756e-01,5.407882484424e-01,4.000379403215e-01,4.671335285568e-01,24,"raw = -1*eta_h + -5.2*eta_y + -0.12"
26,33,grid,-9.000000000000e-01,-5.200000000000e+00,-1.200000000000e-01,4.503198565258e-01,3.602692138974e-01,3.877833019565e-01,5.125340603610e-01,5.406928498881e-01,3.997520519836e-01,4.669224521204e-01,24,"raw = -0.9*eta_h + -5.2*eta_y + -0.12"
27,2,grid,-1.100000000000e+00,-5.200000000000e+00,-1.400000000000e-01,4.506534433803e-01,3.518405860279e-01,3.859172398982e-01,5.167012599182e-01,5.481546876770e-01,4.042487816347e-01,4.713256668947e-01,24,"raw = -1.1*eta_h + -5.2*eta_y + -0.14"
28,17,grid,-1.000000000000e+00,-5.200000000000e+00,-1.400000000000e-01,4.508018300130e-01,3.525901796728e-01,3.859895199073e-01,5.165818933039e-01,5.480457271681e-01,4.041312200752e-01,4.711359652873e-01,24,"raw = -1*eta_h + -5.2*eta_y + -0.14"
29,4,grid,-1.100000000000e+00,-5.200000000000e+00,-8.000000000000e-02,4.508044927694e-01,3.736679230237e-01,3.931094039986e-01,5.068762049478e-01,5.295644391073e-01,3.920170357387e-01,4.601706780096e-01,24,"raw = -1.1*eta_h + -5.2*eta_y + -0.08"
30,32,grid,-9.000000000000e-01,-5.200000000000e+00,-1.400000000000e-01,4.509495869452e-01,3.533340097426e-01,3.860643482175e-01,5.164630424113e-01,5.479369474094e-01,4.040510644665e-01,4.710130600205e-01,24,"raw = -0.9*eta_h + -5.2*eta_y + -0.14"
31,19,grid,-1.000000000000e+00,-5.200000000000e+00,-8.000000000000e-02,4.510439062517e-01,3.745446383201e-01,3.933115390877e-01,5.068174275983e-01,5.295020200005e-01,3.919582549590e-01,4.598340244528e-01,24,"raw = -1*eta_h + -5.2*eta_y + -0.08"
