seed,gen,rank,fitness,expr
1,0,0,1.649326340746e-03,"neg(yw)"
1,0,1,1.656799166130e-03,"sub(neg(0.1647435216084674), mul(yw, 0.16375780484398073))"
1,0,2,1.672661792331e-03,"protected_tanh(-0.12947733335425327)"
1,0,3,1.680996811533e-03,"protected_tanh(neg(0.08900225798255168))"
1,0,4,1.681704377102e-03,"mul(0.3955753946414917, protected_tanh(neg(yw)))"
1,0,5,1.698353903775e-03,"add(yw, neg(yw))"
1,0,6,1.719471249733e-03,"add(protected_tanh(sub(0.43916701894858656, yw)), mul(sub(yw, 0.4522444552911937), add(0.33757797566257286, yw)))"
1,0,7,1.734984678711e-03,"protected_tanh(yw)"
1,0,8,1.759931003976e-03,"add(protected_tanh(0.14715616531930265), yw)"
1,0,9,1.814568877665e-03,"add(0.2609624449125756, neg(add(-0.4716525234779937, -0.06723293209494663)))"
1,1,0,1.608488282344e-03,"add(yw, sub(-0.39123830755458666, yw))"
1,1,1,1.627496676400e-03,"mul(add(yw, yw), add(-0.4854400250751877, -0.2504407743465772))"
1,1,2,1.641171705968e-03,"sub(neg(yw), mul(yw, 0.16375780484398073))"
1,1,3,1.645387159060e-03,"sub(neg(0.1647435216084674), mul(yw, neg(-0.38580935430799)))"
1,1,4,1.649327707377e-03,"neg(yw)"
1,1,5,1.656799369157e-03,"sub(neg(0.1647435216084674), mul(yw, 0.16375780484398073))"
1,1,6,1.687160716354e-03,"mul(0.3955753946414917, protected_tanh(neg(0.14820280456237434)))"
1,1,7,1.716647694392e-03,"mul(yw, yw)"
1,1,8,1.737461119124e-03,"yw"
1,1,9,1.771961244751e-03,"sub(neg(0.04470216357890444), sub(-0.27680421975332925, yw))"
1,2,0,1.560017250763e-03,"add(yw, add(-0.4854400250751877, -0.2504407743465772))"
1,2,1,1.591966052521e-03,"add(yw, sub(protected_tanh(-0.48279980327676497), yw))"
1,2,2,1.608488177339e-03,"add(yw, sub(-0.39123830755458666, yw))"
1,2,3,1.608488177536e-03,"add(yw, sub(-0.39123830755458666, yw))"
1,2,4,1.613915192708e-03,"mul(add(sub(mul(-0.28697020361918624, yw), neg(0.41444463940257725)), yw), sub(-0.39123830755458666, yw))"
1,2,5,1.627496271709e-03,"mul(add(yw, yw), add(-0.4854400250751877, -0.2504407743465772))"
1,2,6,1.627496508085e-03,"mul(add(yw, yw), add(-0.4854400250751877, -0.2504407743465772))"
1,2,7,1.641171662469e-03,"sub(neg(yw), mul(yw, 0.16375780484398073))"
1,2,8,1.713115537761e-03,"mul(add(yw, yw), add(yw, -0.2504407743465772))"
1,2,9,1.774758285406e-03,"neg(-0.4854400250751877)"
1,3,0,1.560017283372e-03,"add(yw, add(-0.4854400250751877, -0.2504407743465772))"
1,3,1,1.591965400988e-03,"add(yw, sub(protected_tanh(-0.48279980327676497), yw))"
1,3,2,1.591966052510e-03,"add(yw, sub(protected_tanh(-0.48279980327676497), yw))"
1,3,3,1.591966052538e-03,"add(yw, sub(protected_tanh(-0.48279980327676497), yw))"
1,3,4,1.591966052572e-03,"add(yw, sub(protected_tanh(-0.48279980327676497), yw))"
1,3,5,1.608488318379e-03,"add(yw, sub(-0.39123830755458666, yw))"
1,3,6,1.610254875374e-03,"-0.3848975015720727"
1,3,7,1.633644107701e-03,"sub(neg(yw), mul(add(yw, yw), 0.16375780484398073))"
1,3,8,1.724838827881e-03,"add(yw, sub(-0.39123830755458666, neg(add(yw, yw))))"
