seed,gen,rank,fitness,cases,expr
1,0,0,3.159505854488e-01,"RE12819_CG1;RE12819_CG2","neg(yw)"
1,0,1,3.206293094264e-01,"RE12819_CG1;RE12819_CG2","sub(neg(0.1647435216084674), mul(yw, 0.16375780484398073))"
1,0,2,3.254576103477e-01,"RE12819_CG1;RE12819_CG2","protected_tanh(-0.12947733335425327)"
1,0,3,3.275130960227e-01,"RE12819_CG1;RE12819_CG2","mul(0.3955753946414917, protected_tanh(neg(yw)))"
1,0,4,3.278502932297e-01,"RE12819_CG1;RE12819_CG2","protected_tanh(neg(0.08900225798255168))"
1,0,5,3.330076860136e-01,"RE12819_CG1;RE12819_CG2","add(yw, neg(yw))"
1,0,6,3.396463026635e-01,"RE12819_CG1;RE12819_CG2","add(protected_tanh(sub(0.43916701894858656, yw)), mul(sub(yw, 0.4522444552911937), add(0.33757797566257286, yw)))"
1,0,7,3.447303844128e-01,"RE12819_CG1;RE12819_CG2","protected_tanh(yw)"
1,0,8,3.526850843576e-01,"RE12819_CG1;RE12819_CG2","add(protected_tanh(0.14715616531930265), yw)"
1,0,9,3.726436352409e-01,"RE12819_CG1;RE12819_CG2","add(0.2609624449125756, neg(add(-0.4716525234779937, -0.06723293209494663)))"
1,1,0,5.396598178727e-01,"RE12819_CG3;RE12819_CG2","add(-0.12947733335425327, neg(yw))"
1,1,1,5.478937525273e-01,"RE12819_CG3;RE12819_CG2","sub(neg(yw), mul(yw, 0.16375780484398073))"
1,1,2,5.580705223234e-01,"RE12819_CG3;RE12819_CG2","neg(yw)"
1,1,3,5.845544734649e-01,"RE12819_CG3;RE12819_CG2","sub(neg(0.1647435216084674), mul(yw, 0.16375780484398073))"
1,1,4,6.027505094946e-01,"RE12819_CG3;RE12819_CG2","protected_tanh(protected_tanh(sub(0.3170396683778869, yw)))"
1,1,5,6.255774708315e-01,"RE12819_CG3;RE12819_CG2","mul(0.3955753946414917, yw)"
1,1,6,6.433187365933e-01,"RE12819_CG3;RE12819_CG2","protected_tanh(yw)"
1,1,7,6.455546289386e-01,"RE12819_CG3;RE12819_CG2","add(mul(mul(0.20262555272878524, -0.026228985829721108), add(-0.11344289523853013, 0.29620301118522363)), yw)"
1,1,8,6.456359803496e-01,"RE12819_CG3;RE12819_CG2","yw"
1,1,9,6.699262289350e-01,"RE12819_CG3;RE12819_CG2","neg(sub(protected_tanh(-0.27680421975332925), add(0.1749025775182691, 0.1598238917510797)))"
1,2,0,5.344145001052e-01,"RE12819_CG2;RE12819_CG3","sub(neg(yw), mul(yw, yw))"
1,2,1,5.396599993833e-01,"RE12819_CG2;RE12819_CG3","add(-0.12947733335425327, neg(yw))"
1,2,2,5.396600037085e-01,"RE12819_CG2;RE12819_CG3","add(-0.12947733335425327, neg(yw))"
1,2,3,5.478937644373e-01,"RE12819_CG2;RE12819_CG3","sub(neg(yw), mul(yw, 0.16375780484398073))"
1,2,4,5.659534477179e-01,"RE12819_CG2;RE12819_CG3","add(-0.12947733335425327, -0.2648104886157825)"
1,2,5,5.846691792477e-01,"RE12819_CG2;RE12819_CG3","sub(neg(0.16375780484398073), mul(yw, 0.16375780484398073))"
1,2,6,6.119507265440e-01,"RE12819_CG2;RE12819_CG3","mul(mul(yw, 0.16375780484398073), 0.2591161827164402)"
1,2,7,6.255774703103e-01,"RE12819_CG2;RE12819_CG3","mul(0.3955753946414917, yw)"
1,2,8,6.433185434735e-01,"RE12819_CG2;RE12819_CG3","protected_tanh(yw)"
1,2,9,6.456356454168e-01,"RE12819_CG2;RE12819_CG3","yw"
1,3,0,8.353884131552e-01,"RE12819_CG4","sub(neg(yw), mul(yw, yw))"
1,3,1,8.353884131552e-01,"RE12819_CG4","sub(neg(yw), mul(yw, yw))"
1,3,2,8.627672694083e-01,"RE12819_CG4","add(-0.12947733335425327, neg(yw))"
1,3,3,8.627672694083e-01,"RE12819_CG4","add(-0.12947733335425327, neg(yw))"
1,3,4,8.627672694083e-01,"RE12819_CG4","add(-0.12947733335425327, neg(yw))"
1,3,5,8.731887489251e-01,"RE12819_CG4","add(mul(add(yw, yw), mul(-0.05015546536990223, -0.1014448399620892)), neg(yw))"
1,3,6,9.383134520136e-01,"RE12819_CG4","sub(neg(neg(add(-0.28480672996390155, 0.16183442887534927))), mul(yw, 0.16375780484398073))"
1,3,7,9.446589275621e-01,"RE12819_CG4","sub(neg(-0.31318714978743245), mul(yw, 0.16375780484398073))"
1,3,8,9.513111941816e-01,"RE12819_CG4","add(0.440734522249, -0.2648104886157825)"
1,3,9,9.542380166328e-01,"RE12819_CG4","add(sub(yw, -0.4186312346162122), neg(yw))"
1,4,0,5.316909429488e-01,"RE12819_CG3;RE12819_CG2","add(neg(mul(0.47235376869451384, yw)), neg(yw))"
1,4,1,5.344145372528e-01,"RE12819_CG3;RE12819_CG2","sub(neg(yw), mul(yw, yw))"
1,4,2,5.344145377412e-01,"RE12819_CG3;RE12819_CG2","sub(neg(yw), mul(yw, yw))"
1,4,3,5.396599993833e-01,"RE12819_CG3;RE12819_CG2","add(-0.12947733335425327, neg(yw))"
1,4,4,5.506848177384e-01,"RE12819_CG3;RE12819_CG2","sub(neg(yw), mul(yw, sub(mul(yw, 0.30825262837239653), protected_tanh(0.04137765198498067))))"
1,4,5,5.663508054176e-01,"RE12819_CG3;RE12819_CG2","sub(neg(yw), mul(yw, -0.12947733335425327))"
1,4,6,6.053126091569e-01,"RE12819_CG3;RE12819_CG2","sub(mul(protected_tanh(0.430107881773361), sub(yw, -0.004927749283989091)), mul(yw, yw))"
1,4,7,6.222473185751e-01,"RE12819_CG3;RE12819_CG2","sub(neg(yw), sub(-0.014216892239388157, 0.4763120008304985))"
1,4,8,6.282041940333e-01,"RE12819_CG3;RE12819_CG2","add(yw, sub(protected_tanh(yw), sub(0.48321706674199083, -0.10220268693512724)))"
1,4,9,6.370860883080e-01,"RE12819_CG3;RE12819_CG2","add(-0.12947733335425327, protected_tanh(sub(yw, -0.06736199902376305)))"
1,5,0,5.316909405059e-01,"RE12819_CG3;RE12819_CG2","add(neg(mul(0.47235376869451384, yw)), neg(yw))"
1,5,1,5.316909426389e-01,"RE12819_CG3;RE12819_CG2","add(neg(mul(0.47235376869451384, yw)), neg(yw))"
1,5,2,5.344145372528e-01,"RE12819_CG3;RE12819_CG2","sub(neg(yw), mul(yw, yw))"
1,5,3,5.646767333899e-01,"RE12819_CG3;RE12819_CG2","sub(neg(yw), sub(0.430107881773361, 0.4763120008304985))"
1,5,4,5.699514592471e-01,"RE12819_CG3;RE12819_CG2","sub(neg(yw), mul(-0.18886434595481993, yw))"
1,5,5,5.760263984360e-01,"RE12819_CG3;RE12819_CG2","sub(neg(yw), mul(-0.29339418431481534, yw))"
1,5,6,5.831138262458e-01,"RE12819_CG3;RE12819_CG2","sub(mul(protected_tanh(-0.014216892239388157), sub(yw, -0.004927749283989091)), mul(yw, yw))"
1,5,7,6.081930569361e-01,"RE12819_CG3;RE12819_CG2","sub(mul(0.47235376869451384, yw), mul(yw, yw))"
1,5,8,6.101960997826e-01,"RE12819_CG3;RE12819_CG2","add(neg(neg(yw)), neg(yw))"
1,5,9,6.198469826266e-01,"RE12819_CG3;RE12819_CG2","add(-0.12947733335425327, neg(-0.2223275657876107))"
1,6,0,3.078460901232e-01,"RE12819_CG2;RE12819_CG1","add(neg(mul(0.47235376869451384, yw)), neg(yw))"
